avg sem type proportion
1 0.202672859796894 0.00242065724016787 CCT 0.2
2 0.148696895592401 0.00153423917655404 CCT 0.1
3 0.109140886023088 0.00142505711676986 CCT 0.05
4 0.076445010692333 0.00139133084891224 CCT 0.01
5 0.0695174826605231 0.00157481155488317 CCT 0
6 0.23160093074513 0.0013060836020508 LCT 0.2
7 0.175929553910858 0.00173719828251593 LCT 0.1
8 0.134890345350042 0.00157572933923947 LCT 0.05
9 0.0858127120966367 0.00106302642090052 LCT 0.01
10 0.0745730733908271 0.000928931933362784 LCT 0
