avg sem type proportion
1 0.151896074271266 0.00216654805235218 CCT 0.2
2 0.105716669638852 0.00172665050664229 CCT 0.1
3 0.0731484076367907 0.00148159822648672 CCT 0.05
4 0.0472292474346049 0.00147001248261285 CCT 0.01
5 0.0402466731212713 0.0014631770907144 CCT 0
6 0.181448678178312 0.00140488163949669 LCT 0.2
7 0.132214139673768 0.00206866503565515 LCT 0.1
8 0.0950259495991853 0.00158014023240518 LCT 0.05
9 0.0531788037622135 0.00084086103480206 LCT 0.01
10 0.044294182795036 0.000931826709729539 LCT 0
