q.value	cancer.exp	normal.exp	weight
chr3:187676563:187676644	7.39806942400554e-19	0.369792588838598	0.00214304227064202	0.994238136679052
chr7:391332:391394	2.95538834218568e-13	0.415019376609298	0.00874271186692191	0.979368820135942
chr5:158478589:158478598	1.1233671456657e-08	0.398412698412698	0.000808925176428683	0.997973744084411
chr8:11565988:11565997	6.73994578534677e-06	0.35888432730595	0.0405340618535973	0.898517286750646
chr7:104581511:104581826	2.959868341954e-09	0.673411110576088	0.0678548826403046	0.908460818031219
chr7:5371156:5371187	9.40067996031914e-10	0.422689392393211	0.0143262479970839	0.967217997085209
chr21:38080525:38080550	2.67985636575297e-06	0.366726073669205	0.00838712715785768	0.977641077041902
chr8:17509194:17509223	2.95538834218568e-13	0.694111196449906	0.0363738860004955	0.950205846944225
chr7:103629308:103629366	0.000306490656108966	0.333333333333333	0.0219997316556749	0.938087012374276
chr5:140207807:140207820	1.66914523112507e-10	0.527066653891604	0.0561657469078758	0.903699199785737
chr20:62369207:62369221	2.77659122933378e-08	0.386349206349206	0.00209651873628717	0.994602801367358
chr17:79406164:79406253	1.09428156878902e-08	0.467407407407407	0.0871679987736897	0.842820294946103
chr16:29164276:29164303	2.3632231968367e-05	0.719268752615098	0.168494246043574	0.810203572013979
chr2:177017367:177017378	3.54297003894153e-08	0.537037037037037	0.0101362840920294	0.981475185831221
chr21:47971700:47971722	2.78894909974372e-05	0.649085362290493	0.0936083424760961	0.87396103955733
chr1:218098391:218098398	8.27227232606566e-07	0.321574216363001	0.0137887377141474	0.958884135690863
chr1:19251999:19252025	2.0247220821121e-06	0.794344122522027	0.213885835673191	0.787860067106062
chr8:96085373:96085420	6.39206219790186e-08	0.70204371571971	0.0690116130314676	0.910497197207312
chr19:18113497:18113578	1.1193267254734e-06	0.619443236033247	0.050082033232706	0.925197695245148
chr7:45018046:45018236	6.4360350698232e-09	0.427570969468432	0.0116461333856506	0.973484335400483
chr14:105640730:105640770	2.71392755856216e-05	0.571212121212121	0.0695084211421101	0.891515229265614
chr15:96865945:96865955	4.91234910282428e-07	0.334375	0.00786113267770876	0.977030091427804
chr12:125039261:125039301	7.19714247837223e-08	0.482111111111111	0.0275135920602396	0.946012051831426
chr17:33478115:33478142	0.000427912906865894	0.640166634915592	0.199316350558353	0.762572495205695
chr2:112124096:112124151	1.81561770112418e-07	0.535889395568833	0.0380824825510998	0.933650960956762
chr12:54071106:54071114	0.000279127112630612	0.483888888888889	0.0534632448153608	0.90050612724507
chr2:232186706:232186761	1.35406261503697e-06	0.699166666666667	0.0961445242584978	0.87911081177337
chr4:2814622:2814718	0.000104986376977362	0.398301354035058	0.0450237681273381	0.898440747260776
chr2:171570261:171570269	1.18144258094027e-08	0.371328976034858	0.0109236857008179	0.97142286556955
chr3:138663980:138664002	3.89258092221928e-08	0.389002742858984	0.00738933432293386	0.981358521654956
chr22:36773395:36773570	9.42696978760695e-09	0.452868821999257	0.0344084143707956	0.929386370216841
chr17:40822613:40822653	6.10068622152113e-05	0.486885188649669	0.106972813801337	0.819868026767624
chr19:12306143:12306166	5.80765546317617e-09	0.460579989395846	0.00347248059291521	0.99251705180451
chr22:20783998:20784048	2.98927142530447e-09	0.355831483045105	0.0525499024165325	0.871321504144638
chr1:154375706:154375773	8.89023897247447e-14	0.65191145390236	0.0185702564961568	0.972303112511273
chr17:76127253:76127408	1.3879651501825e-21	0.518891690387692	0.0138165870567696	0.97406350221729
chr1:45009127:45009259	0.000583905654924819	0.500833333333333	0.108613940283467	0.821782876082304
chr18:72916692:72916705	0.000487188730366711	0.530264625878302	0.102989904620339	0.837364125071095
chr14:93117847:93118042	3.64860181034511e-06	0.445860921357787	0.0297547736146072	0.937439462302996
chr2:109834010:109834148	6.83393925026667e-06	0.5	0.0408955926166586	0.924392815961357
chr4:8082086:8082177	1.98364226402786e-05	0.585313676495086	0.151152109187601	0.794760174707252
chr4:111532578:111532650	0.000120959019705969	0.384496002592511	0.0394363978533684	0.906974796425349
chr6:41515921:41515938	4.75080029762673e-08	0.30563878658243	0.00286698868038162	0.990706855721131
chr19:10624949:10624963	2.56085550610768e-08	0.335268221188932	0.0080117748771348	0.976661107641143
chr14:94254076:94254092	1.52463569172157e-08	0.355419090401375	0.0189250706838076	0.949444728538183
chr16:31488890:31488912	1.35406261503697e-06	0.50718352737489	0.0453963208765738	0.917846586298393
chr17:74141537:74141566	1.02552437149723e-14	0.383567101204087	0.0189176671085195	0.952997806133557
chr21:44819099:44819123	2.22603027393828e-11	0.522496360962748	0.0512707110993846	0.910641942356301
chr15:27136915:27136924	6.01372437048988e-05	0.381981940954048	0.0388159408182292	0.907756330296275
chr6:10393363:10393497	1.94016375134116e-06	0.626691719546964	0.0798229969675022	0.887018635137138
chr2:73147431:73147444	1.86312474530733e-07	0.433333333333333	0.00980590601431871	0.977871727115039
chr5:50694887:50694985	6.01005064559725e-06	0.354344536796774	0.00700414430221815	0.980616660116439
chr8:38757858:38757899	6.96206393000609e-14	0.373974278458284	0.0141502960797498	0.963541870296174
chr9:126785062:126785097	2.95796099921412e-05	0.404035319264853	0.00656693507625069	0.984006578125615
chr8:142276522:142276533	1.10365298696184e-10	0.430445866435603	0.0269326767469258	0.941115128489581
chr7:6066065:6066099	8.08350935269774e-05	0.495781889039997	0.0684272153433634	0.878720114915286
chr2:64632724:64632772	1.32374762353605e-06	0.643181138340775	0.0775174894029946	0.892441186344877
chr16:88758463:88758479	1.17481851582776e-13	0.805	0.0198084495118215	0.975984182117017
chr10:114136302:114136365	7.23911017924347e-11	0.571666666666667	0.00846820302667801	0.985403044241843
chr11:67804601:67804688	1.07878413946856e-05	0.331755912932383	0.0049381846972104	0.98533331967511
chr2:160761118:160761165	6.98518624013983e-08	0.477777777777778	0.00300276627088763	0.993754393125809
chr9:127265806:127265816	7.31597238802118e-07	0.442424242424242	0.0149684365945837	0.967274428994593
chr1:151870591:151870681	9.88860889449532e-05	0.844444444444445	0.222826075614613	0.791218747799496
chr5:110406515:110406530	7.11336431075115e-10	0.381042043722755	0.0396899504988164	0.905664529810123
chr19:58629492:58629522	1.04146844925277e-05	0.365924650796774	0.0362591426740914	0.909844346632734
chr21:46334450:46334460	3.59580661948407e-05	0.503517988382676	0.108558247324986	0.822639336422734
