Var1	Freq
1	chr10:103454457:103454477	1
2	chr10:104352036:104352196	1
3	chr10:10847503:10847691	1
4	chr10:27702716:27702729	1
5	chr10:30110010:30110051	1
6	chr11:106698602:106698622	1
7	chr11:121395074:121395118	1
8	chr11:2020027:2020065	1
9	chr11:33929206:33929320	1
10	chr11:36145336:36145373	1
11	chr11:47416330:47416377	1
12	chr1:156087833:156087873	1
13	chr1:16159932:16159950	1
14	chr11:62139527:62139609	1
15	chr11:62370212:62370238	1
16	chr1:201509291:201509346	1
17	chr1:207921424:207921528	1
18	chr12:110033418:110033548	1
19	chr12:25537415:25537441	1
20	chr1:245970850:245970891	1
21	chr12:52438106:52438159	1
22	chr12:52889045:52889173	1
23	chr12:54332947:54332963	1
24	chr12:54473544:54473561	1
25	chr12:6901902:6901997	1
26	chr12:96564033:96564157	1
27	chr13:19918783:19918794	1
28	chr13:20370973:20371021	1
29	chr13:34253491:34253585	1
30	chr14:64130579:64130727	1
31	chr14:91818657:91818672	1
32	chr14:98190804:98190884	1
33	chr15:58734402:58734645	1
34	chr15:86298535:86298604	1
35	chr16:69961433:69961449	1
36	chr17:17295442:17295619	1
37	chr17:21415130:21415142	1
38	chr17:26173343:26173438	1
39	chr17:37211873:37211969	1
40	chr17:64948116:64948158	1
41	chr17:74526150:74526161	1
42	chr17:75143193:75143219	1
43	chr17:76875977:76875998	1
44	chr18:72916692:72916705	1
45	chr19:1169117:1169138	1
46	chr19:16178526:16178600	1
47	chr1:92946665:92946768	1
48	chr19:3403636:3403711	1
49	chr19:3403810:3403840	1
50	chr19:47496561:47496586	1
51	chr19:50931391:50931435	1
52	chr19:52880780:52880980	1
53	chr19:58220626:58220669	1
54	chr20:30816216:30816330	1
55	chr20:34391305:34391406	1
56	chr20:41153703:41153752	1
57	chr2:101926462:101926479	1
58	chr2:111141088:111141148	1
59	chr2:11884471:11884591	1
60	chr21:35197108:35197284	1
61	chr2:197040996:197041007	1
62	chr2:202945219:202945279	1
63	chr2:232348683:232348704	1
64	chr2:232745254:232745369	1
65	chr22:37942946:37942985	1
66	chr22:38104696:38104738	1
67	chr22:39148367:39148393	1
68	chr2:242195200:242195217	1
69	chr22:42815670:42815694	1
70	chr22:45692585:45692725	1
71	chr22:46022276:46022300	1
72	chr2:25138739:25138897	1
73	chr2:36717718:36717897	1
74	chr2:46219462:46219480	1
75	chr2:48776047:48776154	1
76	chr2:66673054:66673077	1
77	chr2:85637199:85637376	1
78	chr2:99155846:99155916	1
79	chr3:126645737:126645771	1
80	chr3:141098240:141098373	1
81	chr3:18284952:18285049	1
82	chr3:184056458:184056470	1
83	chr3:52250610:52250789	1
84	chr4:1195669:1195719	1
85	chr4:177420126:177420335	1
86	chr4:186808246:186808296	1
87	chr4:6697966:6698085	1
88	chr4:8727069:8727091	1
89	chr5:138730608:138730648	1
90	chr5:139725539:139725550	1
91	chr5:156570589:156570747	1
92	chr5:176831296:176831309	1
93	chr6:107012070:107012253	1
94	chr6:108984666:108984700	1
95	chr6:133523044:133523327	1
96	chr6:149805994:149806024	1
97	chr6:158411773:158411853	1
98	chr6:159128335:159128361	1
99	chr6:163767808:163767820	1
100	chr6:170585982:170586062	1
101	chr6:170589857:170589872	1
102	chr6:21246436:21246559	1
103	chr6:37533092:37533142	1
104	chr6:43192429:43192519	1
105	chr6:43650729:43650959	1
106	chr6:43894465:43894595	1
107	chr6:43939175:43939212	1
108	chr6:71874735:71874758	1
109	chr7:100549051:100549245	1
110	chr7:100875668:100875696	1
111	chr7:101884716:101884822	1
112	chr7:140096553:140096723	1
113	chr7:157071940:157071954	1
114	chr7:17139387:17139535	1
115	chr7:33176934:33177005	1
116	chr7:36320659:36320695	1
117	chr7:39393611:39393625	1
118	chr7:41428132:41428227	1
119	chr7:56183788:56183856	1
120	chr7:601463:601503	1
121	chr7:614586:614611	1
122	chr7:64019659:64019780	1
123	chr7:75018128:75018144	1
124	chr8:125766626:125766669	1
125	chr8:131076680:131076724	1
126	chr9:116327621:116327718	1
127	chr9:130517759:130517991	1
128	chr9:130955063:130955167	1
129	chr9:95964149:95964200	1
130	chr10:81004561:81004609	2
131	chr1:162442502:162442619	2
132	chr1:212415595:212415691	2
133	chr1:235062685:235062859	2
134	chr15:77286562:77286576	2
135	chr16:17499260:17499310	2
136	chr16:78636379:78636435	2
137	chr17:16873955:16874009	2
138	chr17:41669725:41669744	2
139	chr17:45786237:45786298	2
140	chr1:8400056:8400143	2
141	chr19:49839124:49839203	2
142	chr19:7723032:7723142	2
143	chr20:57425892:57425937	2
144	chr20:62200085:62200109	2
145	chr2:174890243:174890269	2
146	chr2:5836838:5836852	2
147	chr3:196347229:196347361	2
148	chr4:68411077:68411095	2
149	chr6:155434075:155434119	2
150	chr6:2999401:2999433	2
151	chr7:50850278:50850660	2
152	chr14:28485394:28485506	3
153	chr19:55766296:55766320	3
154	chr22:46480824:46480971	3
