Var1	Freq
1	chr10:12526101:12526198	1
2	chr10:134062557:134062567	1
3	chr10:2992831:2992986	1
4	chr10:71250913:71251031	1
5	chr10:894133:894176	1
6	chr11:10529517:10529548	1
7	chr11:10580059:10580207	1
8	chr11:117454728:117454907	1
9	chr11:125840213:125840218	1
10	chr11:126226966:126226994	1
11	chr11:20626148:20626166	1
12	chr1:120906033:120906056	1
13	chr11:2828703:2828805	1
14	chr1:154978354:154978371	1
15	chr11:61467518:61467601	1
16	chr1:164545706:164545781	1
17	chr11:66871960:66871973	1
18	chr1:168687549:168687721	1
19	chr1:172291575:172291727	1
20	chr11:85423851:85424008	1
21	chr11:91958190:91958214	1
22	chr1:19249130:19249147	1
23	chr11:94600637:94600757	1
24	chr1:20821827:20821848	1
25	chr12:121164886:121164929	1
26	chr12:123352751:123352815	1
27	chr12:124905745:124905758	1
28	chr1:219786354:219786374	1
29	chr12:214138:214168	1
30	chr1:24468442:24468457	1
31	chr1:25257913:25257952	1
32	chr12:58131153:58131181	1
33	chr12:63157011:63157117	1
34	chr12:6336078:6336124	1
35	chr12:63828393:63828590	1
36	chr12:65813665:65813787	1
37	chr12:69440660:69440851	1
38	chr12:92793926:92794091	1
39	chr13:24575928:24576139	1
40	chr13:75981727:75981971	1
41	chr1:37941197:37941228	1
42	chr1:4045074:4045329	1
43	chr1:41898133:41898168	1
44	chr14:24078834:24078895	1
45	chr14:35319476:35319527	1
46	chr14:55170355:55170479	1
47	chr14:62403215:62403374	1
48	chr14:64130579:64130727	1
49	chr14:65708245:65708394	1
50	chr14:73279457:73279546	1
51	chr14:75683126:75683335	1
52	chr14:77089391:77089627	1
53	chr14:78108418:78108650	1
54	chr15:23892535:23892608	1
55	chr15:31850650:31850711	1
56	chr15:61497667:61497716	1
57	chr15:66998995:66999028	1
58	chr15:67179342:67179441	1
59	chr15:67356599:67356824	1
60	chr15:68136062:68136196	1
61	chr15:70488068:70488255	1
62	chr15:76268973:76269064	1
63	chr15:90727362:90727449	1
64	chr16:11749588:11749704	1
65	chr16:12510137:12510244	1
66	chr16:1544949:1545020	1
67	chr16:16244310:16244423	1
